model,league_code,n,log_loss,market_log_loss,edge_bits
dixon_coles,MEX,3771,1.0491484098970132,1.029337396237784,-0.028581251161153346
dixon_coles,USA,4795,1.0323131092428532,1.0102801254611178,-0.03178687643789671
dixon_coles,ARG,5018,1.064036218302726,1.0360385509093026,-0.040392095904950666
dixon_coles,POL,3352,1.0663041384595686,1.038203828083757,-0.04054017842662395
dixon_coles,JAP,3713,1.0616656148842059,1.0307694956247244,-0.04457367803836786
dixon_coles,SUI,2118,1.0502053506473235,1.0084370347889322,-0.0602589421551849
dixon_coles,BRA,4408,1.0463815014199014,1.0005737255525013,-0.06608665107805117
dixon_coles,DEN,2453,1.0551323233771919,1.008134597374843,-0.06780338623664699
dixon_coles,AUT,2140,1.044276902934839,0.9936755826375162,-0.07300227385538179
dixon_coles,ROM,3381,1.0505301177593345,0.9995514383452232,-0.07354668798180662
dixon_coles,NOR,2787,1.04749175977157,0.9931578505157591,-0.0783872614354694
dixon_coles,SWE,2800,1.0346977326409552,0.9801332818667768,-0.07871986254073711
dixon_coles,IRL,2123,1.0140518667856526,0.9541872519373037,-0.08636638296644081
dixon_coles,RUS,2779,1.0645096170328046,0.9842848402540109,-0.11573988761518973
dixon_coles,FIN,2123,1.099813103052189,0.9994592147534987,-0.1447800569824453
dixon_coles,CHN,2538,1.0519351350960984,0.9332307303205246,-0.17125425610139644
gbdt,MEX,3771,1.0537662916107147,1.029337396237784,-0.035243446208922294
gbdt,POL,3352,1.0627648377121475,1.038203828083757,-0.03543404679010486
gbdt,USA,4795,1.035840971985298,1.0102801254611178,-0.03687650652135855
gbdt,JAP,3713,1.056458161016784,1.0307694956247244,-0.03706091016818033
gbdt,SUI,2118,1.0372223106957275,1.0084370347889322,-0.041528374801354066
gbdt,ARG,5018,1.065751669783917,1.0360385509093026,-0.04286696924975056
gbdt,BRA,4408,1.0303804426315148,1.0005737255525013,-0.04300200291507315
gbdt,DEN,2453,1.039488910769252,1.008134597374843,-0.04523471244459223
gbdt,NOR,2787,1.0252771580546256,0.9931578505157591,-0.04633836570311019
gbdt,AUT,2140,1.0333133324654198,0.9936755826375162,-0.05718518510871386
gbdt,FIN,2123,1.0441920369898152,0.9994592147534987,-0.06453582080530132
gbdt,ROM,3381,1.0449414552531928,0.9995514383452232,-0.06548395229899398
gbdt,SWE,2800,1.0255928275446047,0.9801332818667768,-0.06558426111046754
gbdt,RUS,2779,1.0313728279798375,0.9842848402540109,-0.06793360637749052
gbdt,IRL,2123,1.0178525941226628,0.9541872519373037,-0.09184967344731654
gbdt,CHN,2538,1.000039500404578,0.9332307303205246,-0.09638468128815461
gbdt_mkt,USA,4795,1.0180287929721872,1.0102801254611178,-0.011178964191717244
gbdt_mkt,POL,3352,1.0475920140289683,1.038203828083757,-0.013544289306099636
gbdt_mkt,BRA,4408,1.01031073174358,1.0005737255525013,-0.014047530544974297
gbdt_mkt,JAP,3713,1.0410310334238333,1.0307694956247244,-0.014804269694669026
gbdt_mkt,SUI,2118,1.0199535529086603,1.0084370347889322,-0.016614823579639608
gbdt_mkt,MEX,3771,1.0417439139632605,1.029337396237784,-0.017898821597245835
gbdt_mkt,ARG,5018,1.0496800220403288,1.0360385509093026,-0.019680482751161466
gbdt_mkt,DEN,2453,1.0224141363038683,1.008134597374843,-0.020601019999085753
gbdt_mkt,NOR,2787,1.0093329507964202,0.9931578505157591,-0.023335736960791376
gbdt_mkt,CHN,2538,0.9521113672977819,0.9332307303205246,-0.02723900133591387
gbdt_mkt,ROM,3381,1.0193095362727516,0.9995514383452232,-0.028504909897443673
gbdt_mkt,FIN,2123,1.0210090198747177,0.9994592147534987,-0.031089796980506176
gbdt_mkt,SWE,2800,1.0033814581139862,0.9801332818667768,-0.03354002858156148
gbdt_mkt,RUS,2779,1.0093552357780566,0.9842848402540109,-0.036168935295665706
gbdt_mkt,AUT,2140,1.0208777757034713,0.9936755826375162,-0.03924446903755752
gbdt_mkt,IRL,2123,1.0140541596104795,0.9541872519373037,-0.08636969081344818
