model,strategy,n_bets,roi,mean_clv_pct,sharpe,hit_rate,total_profit,max_drawdown,final_bankroll,clv_positive_share,clv_t_stat,bet_price_source,closing_price_source
dixon_coles,kelly_quarter,29325,-0.0540164115240212,0.0,-0.0658306940175746,0.2882864450127877,-999.9999999999984,1.0,7.874235695830417e-31,0.0,0.0,Mkt,bet_price_no_closing_available
dixon_coles,kelly_half,29325,-0.0526666105005312,0.0,-0.0658306940175746,0.2882864450127877,-1000.0,1.0,8.870948129216777e-69,0.0,0.0,Mkt,bet_price_no_closing_available
dixon_coles,flat_1pct,29573,-0.0782055788416695,0.0,-0.0655435966465831,0.2914820951543638,-999.9999999999974,0.9999999999999996,4.407906470827799e-13,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt,kelly_quarter,29740,-0.078216306800524,0.0,-0.0525278988207298,0.277067921990585,-999.9999999999998,1.0,1.3827315652217502e-25,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt,kelly_half,29740,-0.0673220241067232,0.0,-0.0525278988207298,0.277067921990585,-1000.0,1.0,3.022665620307426e-60,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt,flat_1pct,29953,-0.0834941358441349,0.0,-0.0524326915277031,0.2795713284145161,-999.9999999999458,0.999999999999952,5.4283593463562367e-11,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt_mkt,kelly_quarter,23908,-0.067169300752519,0.0,-0.0419170058881615,0.2839216998494228,-999.999999999996,0.9999999999999986,3.515238208275921e-12,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt_mkt,kelly_half,23908,-0.0611953845421697,0.0,-0.0419170058881615,0.2839216998494228,-1000.0000000000013,1.0,1.4092800457305274e-32,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt_mkt,flat_1pct,24208,-0.0824259576148584,0.0,-0.0422099166320197,0.2881278916060806,-999.9999985602416,0.9999999988013284,1.4397577592909695e-06,0.0,0.0,Mkt,bet_price_no_closing_available
gru_sequence,kelly_quarter,20968,-0.20797464211404867,0.0,-0.060424958757863446,0.3222052651659672,-1000.0000000000003,1.0,3.9802082727787455e-20,0.0,0.0,Mkt,bet_price_no_closing_available
gru_sequence,kelly_half,20968,-0.24275698681286423,0.0,-0.060424958757863446,0.3222052651659672,-999.9999999999998,1.0,3.3318008973007163e-45,0.0,0.0,Mkt,bet_price_no_closing_available
gru_sequence,flat_1pct,21182,-0.15729518942360463,0.0,-0.060227896248200075,0.3257010669436314,-999.999999733072,0.9999999997501727,2.669286808279672e-07,0.0,0.0,Mkt,bet_price_no_closing_available
transformer_sequence,kelly_quarter,20751,-0.13405130607084795,0.0,-0.054138846416103364,0.31839429425087945,-1000.0000000000003,1.0,2.669854150281008e-18,0.0,0.0,Mkt,bet_price_no_closing_available
transformer_sequence,kelly_half,20751,-0.1503062018718752,0.0,-0.05413884641610335,0.31839429425087945,-999.9999999999994,1.0,9.584929028043932e-42,0.0,0.0,Mkt,bet_price_no_closing_available
transformer_sequence,flat_1pct,20997,-0.1112019883999328,0.0,-0.053708368168226966,0.32280802019336097,-999.9999981996049,0.9999999983975132,1.800395559223517e-06,0.0,0.0,Mkt,bet_price_no_closing_available
