model,strategy,n_bets,roi,mean_clv_pct,sharpe,hit_rate,total_profit,max_drawdown,final_bankroll,clv_positive_share,clv_t_stat,bet_price_source,closing_price_source
gbdt,kelly_quarter,29506,-0.11618738822713551,0.0,-0.04933536550021677,0.285975733749068,-1000.0000000000001,1.0,1.2338624377451532e-23,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt,kelly_half,29506,-0.18534620174596853,0.0,-0.04933536550021677,0.285975733749068,-999.9999999999998,1.0,1.1240033731013843e-56,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt,flat_1pct,29747,-0.07286313413053667,0.0,-0.0496997905753987,0.2883315964635089,-999.9999999996083,0.9999999999996273,3.9219342940825e-10,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt_mkt,kelly_quarter,24023,-0.09237483323064595,0.0,-0.04544862250283078,0.2900137368355326,-1000.0000000000001,0.9999999999999998,1.8319435029361076e-13,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt_mkt,kelly_half,24023,-0.10297723717006356,0.0,-0.045448622502830785,0.2900137368355326,-1000.0000000000005,1.0,4.3380503606693023e-35,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt_mkt,flat_1pct,24290,-0.07670888965566294,0.0,-0.04528796442390454,0.2939892960065871,-999.9999994787851,0.9999999996047128,5.212147538763215e-07,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt_squadval,kelly_quarter,29156,-0.11153981155756618,0.0,-0.050978338400614887,0.28848264508162985,-1000.0,1.0,2.1604963660230573e-22,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt_squadval,kelly_half,29156,-0.17528241996430252,0.0,-0.05097833840061488,0.28848264508162985,-1000.0,1.0,1.8757320580386308e-54,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt_squadval,flat_1pct,29418,-0.07866251169815673,0.0,-0.050866258256305176,0.29172615405534025,-999.9999999995944,0.9999999999996299,4.0699820734988607e-10,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt_mkt_squadval,kelly_quarter,23998,-0.09440789822306181,0.0,-0.039362145110305266,0.30073339444953745,-999.9999999999874,0.9999999999999929,1.2367971483045682e-11,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt_mkt_squadval,kelly_half,23998,-0.10496174903697514,0.0,-0.03936214511030527,0.30073339444953745,-1000.0000000000008,1.0,1.5511803599990211e-31,0.0,0.0,Mkt,bet_price_no_closing_available
gbdt_mkt_squadval,flat_1pct,24307,-0.08844028860073914,0.0,-0.039534351248884485,0.30505615666268976,-999.9999929007005,0.9999999933427389,7.099299510761868e-06,0.0,0.0,Mkt,bet_price_no_closing_available
